sitc4,con,lib
0010,w,w
0011,w,w
0012,w,w
0013,w,w
0014,w,w
0015,n,n
0019,r,r
0110,w,w
0111,w,w
0112,r,r
0113,w,w
0114,r,r
0115,n,n
0116,w,w
0118,n,r
0120,w,w
0121,w,w
0122,w,w
0123,w,w
0125,w,w
0129,r,r
0140,r,r
0141,n,r
0142,r,r
0149,r,r
0161,r,r
0168,r,r
0171,r,r
0172,r,r
0173,r,r
0174,r,r
0175,r,r
0176,r,r
0179,r,r
0220,r,w
0221,r,w
0222,r,w
0223,r,r
0224,r,w
0230,r,w
0240,r,w
0250,r,w
0251,r,w
0252,r,r
0253,r,w
0340,r,r
0341,r,r
0342,n,n
0343,r,r
0344,r,r
0345,r,r
0350,w,w
0351,w,w
0352,w,w
0360,r,r
0361,r,r
0362,r,r
0363,r,r
0370,r,r
0371,r,r
0372,r,r
0410,w,w
0411,w,w
0412,w,w
0420,w,w
0421,w,w
0422,w,w
0423,w,w
0430,w,w
0440,w,w
0449,w,w
0450,w,w
0451,w,w
0452,w,w
0453,w,w
0459,w,w
0460,n,r
0461,n,r
0470,r,r
0471,r,r
0480,n,n
0481,r,r
0483,n,n
0484,n,n
0485,n,n
0488,n,n
0540,r,r
0541,w,w
0542,r,w
0544,r,r
0545,r,r
0546,r,r
0547,r,r
0548,r,r
0560,n,n
0561,r,r
0564,r,r
0565,n,n
0567,n,n
0570,w,w
0571,r,r
0572,r,r
0573,w,w
0574,r,r
0575,r,r
0576,n,n
0577,w,w
0579,r,r
0580,n,r
0581,n,r
0582,n,n
0583,n,n
0585,w,w
0586,r,r
0589,n,r
0591,w,w
0592,w,w
0599,w,w
0610,w,w
0611,w,w
0612,w,w
0615,w,w
0616,r,r
0619,n,n
0620,r,r
0621,r,r
0622,r,r
0710,w,w
0711,w,w
0712,n,n
0713,w,w
0720,r,w
0721,w,w
0722,r,r
0723,r,r
0724,n,n
0730,n,n
0731,n,n
0733,n,n
0739,n,n
0740,w,w
0741,w,w
0742,n,r
0743,w,w
0750,r,w
0751,w,w
0752,r,w
0810,w,w
0811,r,r
0812,r,r
0813,w,w
0814,r,r
0819,r,r
0910,w,w
0913,w,w
0914,n,r
0980,n,n
0984,n,n
0985,n,n
0986,n,n
0989,n,n
1110,n,n
1120,r,r
1121,r,r
1122,n,r
1123,r,r
1124,r,r
1210,r,r
1211,w,w
1212,w,w
1213,n,n
1220,r,r
1222,r,r
1223,r,r
2110,r,w
2111,r,w
2112,n,n
2114,n,n
2116,n,n
2117,n,n
2119,r,r
2120,n,n
2121,n,n
2122,n,n
2123,n,n
2220,w,w
2221,r,w
2222,w,w
2223,r,w
2224,r,w
2225,r,w
2226,r,w
2227,w,w
2230,n,n
2232,r,r
2234,r,r
2235,n,n
2237,n,n
2238,n,n
2311,w,w
2312,w,w
2320,w,w
2321,w,w
2322,w,w
2330,n,r
2331,n,r
2332,n,n
2440,n,n
2450,n,n
2460,r,w
2462,r,w
2470,r,w
2471,r,w
2472,r,w
2474,r,w
2475,r,w
2479,r,r
2480,n,n
2481,n,n
2482,n,n
2483,n,n
2484,n,n
2510,r,w
2511,r,r
2512,r,r
2516,r,r
2517,r,w
2518,r,r
2519,r,r
2610,w,w
2613,w,w
2614,w,w
2630,w,w
2631,w,w
2632,r,w
2633,r,w
2640,w,w
2641,w,w
2649,w,w
2650,r,w
2651,w,w
2654,w,w
2657,r,w
2658,r,w
2659,r,w
2660,r,r
2665,r,r
2666,r,r
2667,r,r
2670,r,r
2671,r,r
2672,n,n
2680,w,w
2681,w,w
2682,w,w
2683,n,r
2685,n,n
2686,n,n
2687,r,w
2690,n,n
2710,w,w
2711,n,n
2712,r,r
2721,w,w
2722,w,w
2730,r,r
2731,n,n
2732,r,r
2733,r,r
2734,r,r
2740,r,r
2741,r,r
2770,n,n
2771,n,n
2772,n,n
2780,r,r
2782,r,r
2783,r,r
2784,n,n
2785,r,r
2786,r,r
2789,n,r
2810,w,w
2814,w,w
2815,w,w
2816,w,w
2820,w,w
2821,w,w
2822,w,w
2823,w,w
2851,r,w
2852,r,w
2860,r,w
2870,r,w
2871,r,w
2872,r,w
2873,r,w
2874,r,w
2875,r,w
2876,r,w
2877,r,w
2878,r,w
2879,r,w
2880,r,w
2881,r,r
2882,r,w
2890,r,w
2910,n,n
2911,n,n
2919,n,n
2920,n,n
2922,n,n
2923,n,n
2924,n,n
2925,r,r
2926,n,n
2927,n,n
2929,n,n
3211,r,r
3220,r,r
3221,n,r
3224,n,n
3230,r,r
3231,n,n
3232,r,r
3250,r,r
3330,w,w
3340,w,w
3341,w,w
3342,w,w
3343,w,w
3344,w,w
3345,r,r
3350,n,n
3351,r,r
3352,r,r
3353,r,r
3354,n,n
3359,n,n
3410,r,r
3413,r,r
3425,r,r
3510,r,r
4110,w,w
4111,r,r
4112,w,w
4113,w,w
4212,w,w
4213,w,w
4215,w,w
4216,w,w
4217,w,w
4218,w,w
4222,w,w
4225,w,w
4229,w,w
4230,w,w
4232,w,w
4234,w,w
4236,w,w
4239,w,w
4240,w,w
4241,w,w
4242,w,w
4243,w,w
4245,w,w
4249,w,w
4310,r,r
4311,r,r
4312,r,r
4313,n,n
4314,n,r
5110,r,r
5111,r,r
5112,r,r
5113,r,r
5114,r,r
5119,r,r
5120,r,r
5121,r,r
5122,r,r
5123,r,r
5124,r,r
5130,r,r
5137,r,r
5138,r,r
5139,r,r
5140,r,r
5145,r,r
5146,r,r
5147,r,r
5148,r,r
5150,r,r
5154,r,r
5155,r,r
5156,r,r
5157,r,r
5158,r,r
5160,r,r
5161,r,r
5162,r,r
5163,r,r
5169,r,r
5220,r,w
5221,r,r
5222,w,w
5223,r,r
5224,r,r
5225,r,w
5226,r,w
5230,r,r
5231,r,r
5232,r,r
5233,r,r
5234,r,r
5235,r,r
5236,r,r
5237,r,r
5238,r,r
5239,r,r
5240,r,r
5241,n,n
5243,r,r
5249,r,r
5251,r,r
5259,r,r
5310,r,r
5311,r,r
5312,r,r
5320,r,r
5322,r,r
5323,r,r
5330,n,n
5331,r,r
5332,n,n
5334,n,n
5335,n,n
5410,n,n
5411,r,r
5413,n,r
5414,n,n
5415,n,n
5416,n,n
5417,n,n
5419,n,n
5510,n,n
5513,n,n
5530,n,n
5534,n,n
5540,n,n
5541,n,n
5542,n,n
5543,n,n
5620,r,r
5621,r,r
5622,r,w
5623,r,w
5629,r,r
5711,r,r
5712,r,r
5719,r,r
5720,n,n
5721,n,n
5722,n,n
5723,n,n
5729,r,r
5731,r,r
5739,r,r
5741,r,r
5742,r,r
5743,r,r
5751,r,r
5752,r,r
5753,r,r
5754,r,r
5755,r,r
5759,r,r
5791,r,r
5792,r,r
5793,r,r
5799,r,r
5811,r,r
5812,r,r
5813,r,r
5816,r,r
5817,r,r
5820,r,r
5821,r,r
5822,r,r
5823,r,r
5824,r,r
5825,r,r
5826,r,r
5827,r,r
5829,r,r
5830,r,r
5831,r,r
5832,r,r
5833,r,r
5834,r,r
5835,r,r
5836,n,r
5837,r,r
5838,n,n
5839,n,n
5840,r,r
5841,n,n
5842,n,n
5843,r,r
5849,r,r
5850,n,r
5851,r,r
5852,n,r
5910,n,n
5911,r,r
5912,n,n
5913,n,n
5914,n,n
5920,r,r
5921,n,n
5922,r,r
5931,r,r
5972,r,r
5977,r,r
5980,n,n
5981,r,r
5982,n,n
5983,n,n
5986,n,n
5988,n,n
5989,n,n
6110,n,n
6112,n,r
6113,r,r
6114,n,n
6115,n,n
6116,n,n
6117,n,n
6118,n,n
6120,n,n
6130,n,n
6131,n,n
6132,n,n
6133,n,n
6210,n,n
6213,n,n
6214,n,n
6250,n,n
6251,n,n
6252,n,n
6253,n,n
6254,n,n
6255,n,n
6259,n,n
6280,n,n
6282,n,n
6289,n,n
6292,n,n
6330,n,n
6332,n,n
6340,r,w
6341,r,r
6342,r,w
6343,r,r
6344,n,n
6345,r,w
6350,n,n
6351,n,n
6353,n,n
6359,n,n
6410,r,r
6411,r,r
6412,r,r
6413,r,r
6414,r,r
6415,r,r
6416,r,r
6417,r,r
6418,r,r
6419,n,n
6420,n,n
6421,r,r
6424,n,n
6428,n,n
6510,r,r
6511,n,n
6512,w,w
6513,w,w
6514,r,r
6515,r,r
6516,r,r
6517,r,r
6518,n,r
6519,n,n
6520,n,n
6521,r,r
6522,n,n
6523,n,n
6524,n,n
6525,n,n
6526,n,n
6529,n,n
6530,n,r
6531,r,r
6532,r,r
6533,n,r
6534,r,r
6535,n,n
6536,n,n
6538,n,n
6539,n,n
6540,n,n
6541,n,n
6542,n,n
6543,n,n
6544,n,n
6545,r,r
6549,n,n
6550,n,n
6551,r,r
6552,n,n
6553,n,n
6560,n,n
6561,n,n
6562,n,n
6563,n,n
6564,n,n
6565,n,n
6570,n,n
6571,n,n
6572,n,n
6573,n,n
6574,n,n
6575,n,n
6576,n,n
6577,n,n
6578,n,n
6579,n,n
6580,n,n
6581,n,n
6582,n,n
6583,n,n
6584,n,n
6585,n,n
6589,n,n
6590,n,n
6591,n,n
6592,n,n
6593,n,n
6594,n,n
6595,n,n
6596,n,n
6597,n,n
6610,r,r
6611,r,r
6612,r,r
6613,n,n
6618,n,r
6620,n,r
6623,n,r
6624,n,n
6630,n,n
6631,n,n
6632,n,n
6633,n,n
6638,n,n
6640,n,n
6641,n,n
6642,n,n
6643,n,n
6644,n,n
6645,n,n
6646,n,n
6647,n,n
6648,n,n
6649,n,n
6650,n,n
6651,n,n
6658,n,n
6659,n,n
6660,n,n
6664,n,n
6665,n,n
6666,n,n
6670,r,w
6672,r,w
6674,n,n
6710,r,r
6712,r,r
6713,r,r
6714,r,r
6715,r,r
6716,r,r
6720,n,r
6724,n,n
6725,n,r
6730,r,r
6731,r,r
6732,r,r
6733,n,n
6734,r,r
6740,r,r
6741,r,r
6742,r,r
6743,r,r
6744,r,r
6745,r,r
6746,r,r
6747,r,r
6748,r,r
6749,r,r
6750,r,r
6751,r,r
6753,r,r
6755,r,r
6757,r,r
6760,r,r
6761,r,r
6762,r,r
6763,r,r
6764,r,r
6768,r,r
6770,r,r
6780,n,n
6781,n,n
6782,n,n
6783,n,r
6785,n,r
6790,n,n
6791,n,n
6793,n,n
6794,n,n
6795,n,n
6810,w,w
6811,w,w
6812,w,w
6820,w,w
6821,w,w
6822,r,r
6823,w,w
6824,w,w
6825,w,w
6826,w,w
6827,w,w
6830,w,w
6831,w,w
6832,r,r
6840,w,w
6841,w,w
6842,r,r
6850,w,w
6851,w,w
6852,r,r
6860,w,w
6861,w,w
6863,r,r
6870,w,w
6871,w,w
6872,w,w
6880,r,w
6890,r,w
6891,w,w
6898,r,w
6899,r,w
6910,n,n
6920,n,n
6930,n,r
6931,n,r
6932,r,r
6935,n,n
6940,n,n
6941,n,n
6942,n,n
6943,n,n
6944,n,n
6950,n,n
6951,n,n
6952,n,n
6953,n,n
6954,n,n
6955,n,n
6956,n,n
6957,n,n
6960,n,n
6963,n,n
6964,n,n
6965,n,n
6966,n,n
6968,n,n
6970,n,n
6973,n,n
6974,n,n
6975,n,n
6978,n,n
6990,n,n
6991,n,n
6992,n,n
6993,n,n
6995,n,n
6996,n,r
6997,n,n
6998,n,n
6999,n,n
7110,n,n
7111,n,n
7112,n,n
7120,n,n
7130,n,n
7132,n,n
7133,n,n
7138,n,n
7139,n,n
7140,n,n
7149,n,n
7160,n,n
7161,n,n
7162,n,n
7163,n,n
7164,n,n
7165,n,n
7180,n,n
7188,n,n
7189,n,n
7210,n,n
7211,n,n
7212,n,n
7213,n,n
7219,n,n
7220,n,n
7224,n,n
7230,n,n
7231,n,n
7232,n,n
7233,n,n
7234,n,n
7240,n,n
7243,n,n
7244,n,n
7245,n,n
7246,n,n
7247,n,n
7248,n,n
7250,n,n
7251,n,n
7252,n,n
7259,n,n
7260,n,n
7263,n,n
7264,n,n
7265,n,n
7266,n,n
7267,n,n
7268,n,n
7269,n,n
7270,n,n
7271,n,n
7272,n,n
7280,n,n
7281,n,n
7283,n,n
7284,n,n
7311,n,n
7312,n,n
7313,n,n
7314,n,n
7315,n,n
7316,n,n
7317,n,n
7331,n,n
7339,n,n
7360,n,n
7361,n,n
7362,n,n
7367,n,n
7369,n,n
7370,n,n
7371,n,n
7372,n,n
7373,n,n
7374,n,n
7410,n,n
7411,n,n
7412,n,n
7413,n,n
7414,n,n
7415,n,n
7416,n,n
7417,n,n
7418,n,n
7420,n,n
7421,n,n
7422,n,n
7423,n,n
7424,n,n
7425,n,n
7426,n,n
7427,n,n
7428,n,n
7430,n,n
7431,n,n
7434,n,n
7435,n,n
7436,n,n
7440,n,n
7441,n,n
7442,n,n
7443,n,n
7444,n,n
7447,n,n
7448,n,n
7450,n,n
7451,n,n
7452,n,n
7453,n,n
7456,n,n
7459,n,n
