ksh_code,city,county,nuts3
33613,Szentegát,Baranya,HU231
30492,Mekényes,Baranya,HU231
3832,Keszü,Baranya,HU231
9663,Babarcszőlős,Baranya,HU231
7126,Hetvehely,Baranya,HU231
17835,Fazekasboda,Baranya,HU231
4048,Tófű,Baranya,HU231
7694,Szőkéd,Baranya,HU231
20686,Okorág,Baranya,HU231
33084,Gordisa,Baranya,HU231
6886,Aranyosgadány,Baranya,HU231
18661,Ózdfalu,Baranya,HU231
10825,Pécsvárad,Baranya,HU231
14650,Nagynyárád,Baranya,HU231
17792,Patapoklosi,Baranya,HU231
6479,Lapáncsa,Baranya,HU231
4543,Feked,Baranya,HU231
3285,Hirics,Baranya,HU231
24402,Vékény,Baranya,HU231
25177,Magyarbóly,Baranya,HU231
28,Baranya megye területre nem bontható adatai,Baranya,HU231
22576,Csonkamindszent,Baranya,HU231
6725,Borjád,Baranya,HU231
11952,Dinnyeberki,Baranya,HU231
16984,Szellő,Baranya,HU231
32373,Diósviszló,Baranya,HU231
25812,Ág,Baranya,HU231
29142,Somogyhárságy,Baranya,HU231
33002,Bodolyabér,Baranya,HU231
13286,Felsőegerszeg,Baranya,HU231
6831,Kishajmás,Baranya,HU231
9803,Szentkatalin,Baranya,HU231
18704,Erdősmecske,Baranya,HU231
17242,Pogány,Baranya,HU231
29948,Ipacsfa,Baranya,HU231
28918,Egerág,Baranya,HU231
27021,Kisharsány,Baranya,HU231
8110,Kórós,Baranya,HU231
16115,Pellérd,Baranya,HU231
19132,Kátoly,Baranya,HU231
25821,Erdősmárok,Baranya,HU231
21096,Pécsudvard,Baranya,HU231
28617,Drávacsehi,Baranya,HU231
28608,Drávaszabolcs,Baranya,HU231
3346,Ivándárda,Baranya,HU231
5485,Baranyaszentgyörgy,Baranya,HU231
23807,Somogyapáti,Baranya,HU231
29522,Molvány,Baranya,HU231
27702,Tékes,Baranya,HU231
13444,Mecseknádasd,Baranya,HU231
15635,Tarrós,Baranya,HU231
14517,Kovácsszénája,Baranya,HU231
19910,Kiskassa,Baranya,HU231
16771,Székelyszabar,Baranya,HU231
28024,Villány,Baranya,HU231
27863,Majs,Baranya,HU231
18908,Kisasszonyfa,Baranya,HU231
28741,Sellye,Baranya,HU231
12858,Nagyhajmás,Baranya,HU231
23959,Mohács,Baranya,HU231
27508,Szágy,Baranya,HU231
22734,Drávapalkonya,Baranya,HU231
8651,Kisszentmárton,Baranya,HU231
5528,Szörény,Baranya,HU231
4516,Rózsafa,Baranya,HU231
3151,Kistapolca,Baranya,HU231
24749,Baranyajenő,Baranya,HU231
9308,Szemely,Baranya,HU231
28538,Vajszló,Baranya,HU231
12867,Pereked,Baranya,HU231
23472,Somberek,Baranya,HU231
33932,Hobol,Baranya,HU231
9159,Drávakeresztúr,Baranya,HU231
2653,Nagyharsány,Baranya,HU231
3975,Baksa,Baranya,HU231
33233,Gödre,Baranya,HU231
31431,Husztót,Baranya,HU231
12201,Zók,Baranya,HU231
27933,Himesháza,Baranya,HU231
6789,Kemse,Baranya,HU231
28583,Áta,Baranya,HU231
6813,Mágocs,Baranya,HU231
14368,Bosta,Baranya,HU231
4437,Udvar,Baranya,HU231
18315,Gyód,Baranya,HU231
27881,Hásságy,Baranya,HU231
6992,Kővágótöttös,Baranya,HU231
5412,Magyarmecske,Baranya,HU231
22600,Magyarszék,Baranya,HU231
27401,Egyházaskozár,Baranya,HU231
7074,Vázsnok,Baranya,HU231
22664,Gyöngyösmellék,Baranya,HU231
33756,Máza,Baranya,HU231
4297,Kacsóta,Baranya,HU231
15389,Pécsdevecser,Baranya,HU231
22071,Velény,Baranya,HU231
33905,Kisdobsza,Baranya,HU231
29966,Homorúd,Baranya,HU231
16461,Berkesd,Baranya,HU231
30836,Hosszúhetény,Baranya,HU231
6868,Adorjás,Baranya,HU231
16805,Kékesd,Baranya,HU231
20862,Sárok,Baranya,HU231
13310,Bicsérd,Baranya,HU231
25292,Regenye,Baranya,HU231
15538,Kővágószőlős,Baranya,HU231
7366,Szárász,Baranya,HU231
20464,Baranyahídvég,Baranya,HU231
32151,Bogád,Baranya,HU231
10135,Palotabozsok,Baranya,HU231
24378,Bár,Baranya,HU231
11217,Szűr,Baranya,HU231
24855,Romonya,Baranya,HU231
8800,Siklósnagyfalu,Baranya,HU231
29540,Mozsgó,Baranya,HU231
22424,Tormás,Baranya,HU231
24624,Lovászhetény,Baranya,HU231
24712,Szilvás,Baranya,HU231
19725,Versend,Baranya,HU231
17385,Alsómocsolád,Baranya,HU231
22974,Lippó,Baranya,HU231
24952,Vásárosbéc,Baranya,HU231
21698,Drávasztára,Baranya,HU231
7737,Merenye,Baranya,HU231
21616,Kislippó,Baranya,HU231
28121,Drávacsepely,Baranya,HU231
2857,Geresdlak,Baranya,HU231
6415,Kákics,Baranya,HU231
20279,Véménd,Baranya,HU231
5892,Vokány,Baranya,HU231
4385,Magyartelek,Baranya,HU231
3896,Cserkút,Baranya,HU231
23764,Palé,Baranya,HU231
9186,Dunaszekcső,Baranya,HU231
5999,Kárász,Baranya,HU231
19008,Belvárdgyula,Baranya,HU231
15866,Szentlőrinc,Baranya,HU231
13675,Tengeri,Baranya,HU231
19831,Szilágy,Baranya,HU231
7533,Bürüs,Baranya,HU231
32744,Tésenfa,Baranya,HU231
12380,Drávapiski,Baranya,HU231
17604,Liget,Baranya,HU231
28927,Nagytótfalu,Baranya,HU231
9548,Kisvaszar,Baranya,HU231
24226,Kovácshida,Baranya,HU231
26082,Cserdi,Baranya,HU231
26578,Szigetvár,Baranya,HU231
32072,Teklafalu,Baranya,HU231
26408,Komló,Baranya,HU231
13116,Boldogasszonyfa,Baranya,HU231
18111,Nagycsány,Baranya,HU231
7560,Garé,Baranya,HU231
17899,Kölked,Baranya,HU231
25070,Somogyhatvan,Baranya,HU231
32425,Peterd,Baranya,HU231
9007,Szalatnak,Baranya,HU231
22275,Bakóca,Baranya,HU231
22266,Pócsa,Baranya,HU231
11086,Cún,Baranya,HU231
12353,Kistamási,Baranya,HU231
29753,Magyaregregy,Baranya,HU231
9636,Görcsönydoboka,Baranya,HU231
18519,Vejti,Baranya,HU231
21281,Somogyviszló,Baranya,HU231
6965,Katádfa,Baranya,HU231
16443,Markóc,Baranya,HU231
33066,Ibafa,Baranya,HU231
30438,Görcsöny,Baranya,HU231
21528,Harkány,Baranya,HU231
5403,Babarc,Baranya,HU231
5139,Birján,Baranya,HU231
8138,Várad,Baranya,HU231
5519,Siklós,Baranya,HU231
27298,Apátvarasd,Baranya,HU231
31714,Sósvertike,Baranya,HU231
8572,Kétújfalu,Baranya,HU231
16355,Szentlászló,Baranya,HU231
28529,Varga,Baranya,HU231
31389,Lothárd,Baranya,HU231
5722,Kisbeszterce,Baranya,HU231
21704,Old,Baranya,HU231
33923,Mánfa,Baranya,HU231
22211,Szőke,Baranya,HU231
20659,Márok,Baranya,HU231
33899,Nagydobsza,Baranya,HU231
19646,Ófalu,Baranya,HU231
7010,Páprád,Baranya,HU231
11183,Kisdér,Baranya,HU231
30049,Besence,Baranya,HU231
20376,Almáskeresztúr,Baranya,HU231
31060,Szava,Baranya,HU231
11730,Orfű,Baranya,HU231
19901,Csányoszró,Baranya,HU231
19877,Nagypall,Baranya,HU231
33482,Sátorhely,Baranya,HU231
2228,Martonfa,Baranya,HU231
8475,Szajk,Baranya,HU231
11402,Mecsekpölöske,Baranya,HU231
27067,Magyarsarlós,Baranya,HU231
17419,Drávafok,Baranya,HU231
8819,Felsőszentmárton,Baranya,HU231
20899,Boda,Baranya,HU231
10694,Bogdása,Baranya,HU231
8341,Okorvölgy,Baranya,HU231
29762,Pettend,Baranya,HU231
19415,Pécs,Baranya,HU231
30614,Csarnóta,Baranya,HU231
14191,Nagyváty,Baranya,HU231
12751,Gerde,Baranya,HU231
15495,Basal,Baranya,HU231
18333,Gilvánfa,Baranya,HU231
16498,Egyházasharaszti,Baranya,HU231
18865,Lúzsok,Baranya,HU231
4482,Oroszló,Baranya,HU231
16285,Mindszentgodisa,Baranya,HU231
16975,Kisherend,Baranya,HU231
23162,Bükkösd,Baranya,HU231
23205,Siklósbodony,Baranya,HU231
21892,Bogádmindszent,Baranya,HU231
18582,Túrony,Baranya,HU231
25247,Köblény,Baranya,HU231
6798,Hidas,Baranya,HU231
4136,Töttös,Baranya,HU231
18236,Nemeske,Baranya,HU231
6062,Újpetre,Baranya,HU231
26994,Tótszentgyörgy,Baranya,HU231
5607,Szederkény,Baranya,HU231
14483,Máriakéménd,Baranya,HU231
3470,Meződ,Baranya,HU231
18050,Sámod,Baranya,HU231
8299,Bakonya,Baranya,HU231
5209,Villánykövesd,Baranya,HU231
31936,Illocska,Baranya,HU231
26329,Nyugotszenterzsébet,Baranya,HU231
16027,Monyoród,Baranya,HU231
28404,Gyöngyfa,Baranya,HU231
7603,Bánfa,Baranya,HU231
20978,Téseny,Baranya,HU231
32160,Sásd,Baranya,HU231
15051,Matty,Baranya,HU231
3337,Ivánbattyán,Baranya,HU231
27164,Nagypeterd,Baranya,HU231
21023,Hegyszentmárton,Baranya,HU231
21519,Pécsbagota,Baranya,HU231
17190,Helesfa,Baranya,HU231
18555,Olasz,Baranya,HU231
5430,Magyarhertelend,Baranya,HU231
10940,Nagykozár,Baranya,HU231
12645,Óbánya,Baranya,HU231
33154,Bóly,Baranya,HU231
6099,Ellend,Baranya,HU231
22868,Kisbudmér,Baranya,HU231
21591,Csebény,Baranya,HU231
3984,Nagybudmér,Baranya,HU231
25122,Zaláta,Baranya,HU231
34032,Szaporca,Baranya,HU231
23074,Horváthertelend,Baranya,HU231
14119,Bezedek,Baranya,HU231
12849,Kisjakabfalva,Baranya,HU231
9450,Márfa,Baranya,HU231
15219,Marócsa,Baranya,HU231
24925,Bisse,Baranya,HU231
30030,Drávaszerdahely,Baranya,HU231
3018,Szebény,Baranya,HU231
3780,Ócsárd,Baranya,HU231
23506,Piskó,Baranya,HU231
13329,Almamellék,Baranya,HU231
33765,Szászvár,Baranya,HU231
13499,Erzsébet,Baranya,HU231
23542,Magyarlukafa,Baranya,HU231
20552,Királyegyháza,Baranya,HU231
13365,Botykapeterd,Baranya,HU231
31927,Beremend,Baranya,HU231
7773,Dencsháza,Baranya,HU231
3540,Kökény,Baranya,HU231
15404,Szulimán,Baranya,HU231
28273,Endrőc,Baranya,HU231
10746,Kistótfalu,Baranya,HU231
32391,Drávaiványi,Baranya,HU231
17747,Zádor,Baranya,HU231
17464,Kásád,Baranya,HU231
10038,Liptód,Baranya,HU231
30951,Hegyhátmaróc,Baranya,HU231
33279,Alsószentmárton,Baranya,HU231
32009,Szentdénes,Baranya,HU231
29920,Maráza,Baranya,HU231
10542,Kémes,Baranya,HU231
15848,Zengővárkony,Baranya,HU231
6336,Kozármisleny,Baranya,HU231
15079,Szabadszentkirály,Baranya,HU231
2547,Sumony,Baranya,HU231
13851,Csertő,Baranya,HU231
33330,Lánycsók,Baranya,HU231
2264,Vásárosdombó,Baranya,HU231
12548,Abaliget,Baranya,HU231
33215,Kisnyárád,Baranya,HU231
13347,Gerényes,Baranya,HU231
4899,Bikal,Baranya,HU231
7153,Palkonya,Baranya,HU231
22257,Szalánta,Baranya,HU231
11518,Rádfalva,Baranya,HU231
17136,Hernádszentandrás,Borsod-Abaúj-Zemplén,HU311
31510,Szegilong,Borsod-Abaúj-Zemplén,HU311
10904,Garadna,Borsod-Abaúj-Zemplén,HU311
23755,Semjén,Borsod-Abaúj-Zemplén,HU311
14313,Sajókaza,Borsod-Abaúj-Zemplén,HU311
7038,Lénárddaróc,Borsod-Abaúj-Zemplén,HU311
8402,Regéc,Borsod-Abaúj-Zemplén,HU311
5245,Nemesbikk,Borsod-Abaúj-Zemplén,HU311
13134,Golop,Borsod-Abaúj-Zemplén,HU311
9830,Szemere,Borsod-Abaúj-Zemplén,HU311
14915,Mályinka,Borsod-Abaúj-Zemplén,HU311
24420,Pere,Borsod-Abaúj-Zemplén,HU311
8077,Szendrő,Borsod-Abaúj-Zemplén,HU311
19840,Hernádvécse,Borsod-Abaúj-Zemplén,HU311
22956,Korlát,Borsod-Abaúj-Zemplén,HU311
26231,Ládbesenyő,Borsod-Abaúj-Zemplén,HU311
5458,Kenézlő,Borsod-Abaúj-Zemplén,HU311
9706,Gömörszőlős,Borsod-Abaúj-Zemplén,HU311
29054,Tornyosnémeti,Borsod-Abaúj-Zemplén,HU311
27191,Novajidrány,Borsod-Abaúj-Zemplén,HU311
16577,Imola,Borsod-Abaúj-Zemplén,HU311
11819,Kurityán,Borsod-Abaúj-Zemplén,HU311
23029,Rudabánya,Borsod-Abaúj-Zemplén,HU311
14289,Csokvaomány,Borsod-Abaúj-Zemplén,HU311
27395,Mályi,Borsod-Abaúj-Zemplén,HU311
5306,Bőcs,Borsod-Abaúj-Zemplén,HU311
8004,Hét,Borsod-Abaúj-Zemplén,HU311
28547,Kovácsvágás,Borsod-Abaúj-Zemplén,HU311
3805,Szakáld,Borsod-Abaúj-Zemplén,HU311
9496,Szirmabesenyő,Borsod-Abaúj-Zemplén,HU311
